x,y
55.8815785,-4.2847559
55.8808244,-4.285706
55.8803987,-4.2846277
55.8789024,-4.2875614
55.8778951,-4.2899144
55.8774888,-4.2907834
55.8782539,-4.2929855
55.87762,-4.2936832
55.8775039,-4.2938116
55.8782134,-4.2956318
55.8779177,-4.2973012
55.8777792,-4.2972918
55.8773579,-4.2978041
55.8769208,-4.2965756
55.8767079,-4.2963678
55.8769096,-4.2969444
55.8762936,-4.2976134
55.8757319,-4.2982779
55.8766039,-4.2985008
55.874472,-4.2993383
55.8742393,-4.3004887
55.8740454,-4.3015122
55.8736805,-4.3017121
55.8739047,-4.3019588
55.8741921,-4.3068767
55.8745218,-4.3068311
55.8746555,-4.3074681
55.874797,-4.3081613
55.8746141,-4.3094717
55.8745382,-4.3093751
55.8735408,-4.310393
55.871442,-4.309701
55.8714858,-4.3086138
