"name","tessellate","Geometry"
"Itinéraire de 381 Byres Rd, Glasgow G12 8AU, Royaume-Uni à 8 Burgh Hall St, Partick, Glasgow G11 5LN, Royaume-Uni","True","LINESTRING Z (-4.29078 55.87749 0, -4.291 55.87756 0, -4.29256 55.8781 0, -4.29299 55.87825 0, -4.29336 55.87791 0, -4.29381 55.8775 0, -4.29408 55.8776 0, -4.29436 55.87769 0, -4.29517 55.87798 0, -4.29539 55.87805 0, -4.29548 55.8781 0, -4.29553 55.87814 0, -4.29563 55.87821 0, -4.2958 55.87819 0, -4.29587 55.87818 0, -4.29603 55.87815 0, -4.29612 55.87814 0, -4.29621 55.87812 0, -4.2963 55.87809 0, -4.2964 55.87806 0, -4.29649 55.87804 0, -4.29658 55.87801 0, -4.29668 55.87799 0, -4.29676 55.87797 0, -4.29684 55.87796 0, -4.29694 55.87794 0, -4.29702 55.87794 0, -4.29712 55.87793 0, -4.2972 55.87792 0, -4.29726 55.87792 0, -4.2973 55.87792 0, -4.29731 55.8779 0, -4.29729 55.87778 0, -4.29731 55.87777 0, -4.29733 55.87776 0, -4.29768 55.87743 0, -4.29771 55.87741 0, -4.29775 55.87738 0, -4.2978 55.87736 0, -4.29773 55.87733 0, -4.29726 55.87717 0, -4.29685 55.87702 0, -4.29675 55.87698 0, -4.29658 55.87692 0, -4.29655 55.87687 0, -4.29652 55.87683 0, -4.29649 55.8768 0, -4.29645 55.87677 0, -4.29641 55.87674 0, -4.29637 55.87671 0, -4.29694 55.87691 0, -4.29706 55.87681 0, -4.29713 55.87674 0, -4.2973 55.87659 0, -4.29761 55.87629 0, -4.29767 55.87632 0, -4.29795 55.87641 0, -4.29805 55.87628 0, -4.29807 55.87625 0, -4.29809 55.8762 0, -4.29814 55.87607 0, -4.29828 55.87573 0, -4.29814 55.87607 0, -4.29809 55.8762 0, -4.29807 55.87625 0, -4.29805 55.87628 0, -4.29795 55.87641 0, -4.29811 55.87647 0, -4.2985 55.8766 0, -4.29855 55.87654 0, -4.29862 55.87636 0, -4.29892 55.87561 0, -4.29892 55.87555 0, -4.29897 55.87543 0, -4.29925 55.8747 0, -4.29934 55.87447 0, -4.29977 55.8745 0, -4.2998 55.87443 0, -4.29998 55.87439 0, -4.30009 55.87437 0, -4.30021 55.87434 0, -4.3003 55.87432 0, -4.30036 55.8743 0, -4.30041 55.87429 0, -4.30044 55.87427 0, -4.30046 55.87426 0, -4.30049 55.87424 0, -4.30051 55.8742 0, -4.30053 55.87417 0, -4.30057 55.87416 0, -4.30061 55.87414 0, -4.30066 55.87413 0, -4.30071 55.87413 0, -4.30076 55.87412 0, -4.30081 55.87412 0, -4.30087 55.87412 0, -4.30092 55.87412 0, -4.30097 55.87398 0, -4.30151 55.87405 0, -4.30152 55.87401 0, -4.30153 55.87397 0, -4.30162 55.87374 0, -4.30163 55.87373 0, -4.30164 55.87372 0, -4.30171 55.87368 0, -4.30173 55.8737 0, -4.30177 55.87374 0, -4.30196 55.8739 0, -4.30208 55.87388 0, -4.30212 55.87387 0, -4.30217 55.87387 0, -4.30237 55.87388 0, -4.30265 55.87389 0, -4.30279 55.87389 0, -4.30294 55.8739 0, -4.30314 55.87391 0, -4.30358 55.87395 0, -4.30422 55.874 0, -4.30549 55.87409 0, -4.30584 55.87412 0, -4.30602 55.87413 0, -4.30656 55.87417 0, -4.30678 55.87419 0, -4.30688 55.87419 0, -4.30683 55.87451 0, -4.30683 55.87454 0, -4.30684 55.87457 0, -4.30686 55.87458 0, -4.30687 55.8746 0, -4.3069 55.87461 0, -4.30694 55.87463 0, -4.30698 55.87464 0, -4.30703 55.87465 0, -4.30709 55.87465 0, -4.30743 55.87465 0, -4.30747 55.87466 0, -4.3075 55.87466 0, -4.30765 55.8747 0, -4.3078 55.87474 0, -4.30786 55.87475 0, -4.30791 55.87476 0, -4.30794 55.87477 0, -4.3082 55.8748 0, -4.30825 55.87481 0, -4.30826 55.87479 0, -4.30832 55.87479 0, -4.30862 55.87493 0, -4.30883 55.87496 0, -4.30887 55.87496 0, -4.30889 55.87495 0, -4.30894 55.87494 0, -4.30902 55.8749 0, -4.30904 55.87489 0, -4.30909 55.87487 0, -4.30913 55.87486 0, -4.30917 55.87485 0, -4.30922 55.87484 0, -4.30929 55.87484 0, -4.30936 55.87484 0, -4.3094 55.87483 0, -4.30942 55.87482 0, -4.30943 55.8748 0, -4.30943 55.87478 0, -4.30943 55.87477 0, -4.30939 55.87468 0, -4.30938 55.87467 0, -4.30938 55.87466 0, -4.30939 55.87465 0, -4.30947 55.87461 0, -4.30943 55.87458 0, -4.30938 55.87454 0, -4.30957 55.87447 0, -4.30961 55.87445 0, -4.30968 55.87443 0, -4.30971 55.87441 0, -4.30973 55.87439 0, -4.30975 55.87436 0, -4.30976 55.87434 0, -4.30977 55.87434 0, -4.30978 55.8743 0, -4.30979 55.87425 0, -4.30979 55.8742 0, -4.30979 55.87415 0, -4.30979 55.87411 0, -4.30978 55.87407 0, -4.30979 55.87405 0, -4.3098 55.87403 0, -4.30982 55.874 0, -4.30985 55.87398 0, -4.30988 55.87395 0, -4.30995 55.8739 0, -4.31002 55.87384 0, -4.31021 55.87369 0, -4.31039 55.87354 0, -4.31038 55.87352 0, -4.31037 55.87349 0, -4.31037 55.87344 0, -4.31037 55.87341 0, -4.31037 55.87339 0, -4.31039 55.87332 0, -4.31041 55.87326 0, -4.31042 55.87323 0, -4.31044 55.87319 0, -4.31046 55.87316 0, -4.31046 55.87312 0, -4.31047 55.8731 0, -4.31046 55.87308 0, -4.31045 55.87305 0, -4.31013 55.87236 0, -4.3097 55.87144 0, -4.30861 55.87149 0)"
"381 Byres Rd, Glasgow G12 8AU, Royaume-Uni",,"POINT Z (-4.2907834 55.8774888 0)"
"8 Burgh Hall St, Partick, Glasgow G11 5LN, Royaume-Uni",,"POINT Z (-4.3086138 55.8714858 0)"
"Itinéraire de 25 Mingarry Street, Kelvinside, Glasgow à 381 Byres Rd, Glasgow G12 8AU, Royaume-Uni","True","LINESTRING Z (-4.28476 55.88158 0, -4.28535 55.88111 0, -4.28552 55.88097 0, -4.28571 55.88082 0, -4.28525 55.88064 0, -4.28517 55.88061 0, -4.28491 55.88051 0, -4.28465 55.88041 0, -4.28463 55.8804 0, -4.28483 55.88024 0, -4.28494 55.88016 0, -4.285 55.88011 0, -4.28507 55.88006 0, -4.28519 55.87999 0, -4.28544 55.87986 0, -4.28556 55.87981 0, -4.28614 55.87956 0, -4.28686 55.87927 0, -4.28712 55.87917 0, -4.28719 55.87914 0, -4.28726 55.87911 0, -4.28733 55.87907 0, -4.2874 55.87903 0, -4.28746 55.87899 0, -4.28751 55.87895 0, -4.28756 55.8789 0, -4.28759 55.87887 0, -4.28777 55.87869 0, -4.2881 55.87844 0, -4.28811 55.87843 0, -4.28812 55.87842 0, -4.28812 55.87841 0, -4.2882 55.87835 0, -4.28848 55.87823 0, -4.28852 55.87821 0, -4.28858 55.87818 0, -4.28879 55.87813 0, -4.28905 55.87806 0, -4.28931 55.878 0, -4.28936 55.87799 0, -4.2894 55.87798 0, -4.28949 55.87797 0, -4.28964 55.87795 0, -4.28982 55.87791 0, -4.28991 55.8779 0, -4.28995 55.87789 0, -4.29 55.87788 0, -4.29006 55.87786 0, -4.29013 55.87783 0, -4.29017 55.87782 0, -4.29045 55.87767 0, -4.29061 55.87758 0, -4.29078 55.87749 0)"
"25 Mingarry Street, Kelvinside, Glasgow",,"POINT Z (-4.2847559 55.8815785 0)"
"17 Clouston St, Kelvinside, Glasgow G20 8QR, Royaume-Uni",,"POINT Z (-4.285706 55.8808244 0)"
"Fergus Drive, Glasgow G20 6AX, Royaume-Uni",,"POINT Z (-4.2846277 55.8803987 0)"
"Botanic Gardens, Glasgow G12 8DH, Royaume-Uni",,"POINT Z (-4.2875614 55.8789024 0)"
"West Lodge, 730D Great Western Rd, Glasgow G12 0UE, Royaume-Uni",,"POINT Z (-4.2899144 55.8778951 0)"
"381 Byres Rd, Glasgow G12 8AU, Royaume-Uni",,"POINT Z (-4.2907834 55.8774888 0)"
"Itinéraire de 381 Byres Rd, Glasgow G12 8AU, Royaume-Uni à 28 Athole Gardens, Glasgow G12 9BB, Royaume-Uni","True","LINESTRING Z (-4.29078 55.87749 0, -4.291 55.87756 0, -4.29256 55.8781 0, -4.29299 55.87825 0, -4.29336 55.87791 0, -4.29368 55.87762 0, -4.29381 55.8775 0, -4.29408 55.8776 0, -4.29436 55.87769 0, -4.29517 55.87798 0, -4.29539 55.87805 0, -4.29548 55.8781 0, -4.29553 55.87814 0, -4.29563 55.87821 0, -4.2958 55.87819 0, -4.29587 55.87818 0, -4.29603 55.87815 0, -4.29612 55.87814 0, -4.29621 55.87812 0, -4.2963 55.87809 0, -4.2964 55.87806 0, -4.29649 55.87804 0, -4.29658 55.87801 0, -4.29668 55.87799 0, -4.29676 55.87797 0, -4.29684 55.87796 0, -4.29694 55.87794 0, -4.29702 55.87794 0, -4.29712 55.87793 0, -4.2972 55.87792 0, -4.29726 55.87792 0, -4.2973 55.87792 0, -4.29731 55.8779 0, -4.29729 55.87778 0, -4.29731 55.87777 0, -4.29733 55.87776 0, -4.29768 55.87743 0, -4.29771 55.87741 0, -4.29775 55.87738 0, -4.2978 55.87736 0, -4.29773 55.87733 0, -4.29726 55.87717 0, -4.29685 55.87702 0, -4.29675 55.87698 0, -4.29658 55.87692 0, -4.29655 55.87687 0, -4.29652 55.87683 0, -4.29649 55.8768 0, -4.29645 55.87677 0, -4.29641 55.87674 0, -4.29637 55.87671 0)"
"381 Byres Rd, Glasgow G12 8AU, Royaume-Uni",,"POINT Z (-4.2907834 55.8774888 0)"
"2a Kew Ln, Glasgow G12 9AG, Royaume-Uni",,"POINT Z (-4.2929855 55.8782539 0)"
"Kelvinside Hillhead Parish Church, Saltoun Street, Glasgow",,"POINT Z (-4.2936832 55.87762 0)"
"27 Saltoun St, Glasgow G12 9AJ, Royaume-Uni",,"POINT Z (-4.2938116 55.8775039 0)"
"34 Huntly Gardens, Glasgow G12 9AX, Royaume-Uni",,"POINT Z (-4.2956318 55.8782134 0)"
"1 Dundonald Rd, Glasgow G12 9LJ, Royaume-Uni",,"POINT Z (-4.2973012 55.8779177 0)"
"10 Marchmont Terrace, Glasgow G12 9LS, Royaume-Uni",,"POINT Z (-4.2972918 55.8777792 0)"
"7 Bowmont Terrace, Glasgow G12 9LP, Royaume-Uni",,"POINT Z (-4.2978041 55.8773579 0)"
"24 Athole Gardens, Glasgow G12 9BB, Royaume-Uni",,"POINT Z (-4.2965756 55.8769208 0)"
"28 Athole Gardens, Glasgow G12 9BB, Royaume-Uni",,"POINT Z (-4.2963678 55.8767079 0)"
