x,y
556.0,368.0
556.0,376.0
555.0,378.0
556.0,376.0
556.0,372.0
555.0,368.0
554.0,370.0
557.0,370.0
558.0,364.0
558.0,358.0
556.0,350.0
551.0,342.0
548.0,334.0
544.0,326.0
535.0,314.0
528.0,304.0
520.0,286.0
516.0,274.0
506.0,262.0
501.0,254.0
497.0,248.0
494.0,244.0
491.0,240.0
483.0,236.0
479.0,230.0
474.0,226.0
474.0,224.0
474.0,224.0
475.0,224.0
473.0,224.0
469.0,222.0
466.0,218.0
200.0,139.0
204.0,143.0
208.0,146.0
442.0,204.0
442.0,200.0
442.0,198.0
440.0,198.0
435.0,196.0
433.0,194.0
429.0,192.0
430.0,188.0
427.0,186.0
424.0,182.0
236.0,174.0
418.0,176.0
415.0,174.0
415.0,172.0
417.0,170.0
410.0,170.0
410.0,168.0
412.0,166.0
408.0,164.0
411.0,160.0
410.0,160.0
412.0,160.0
407.0,160.0
400.0,158.0
396.0,154.0
389.0,150.0
383.0,146.0
385.0,144.0
379.0,146.0
377.0,146.0
371.0,144.0
366.0,142.0
363.0,138.0
351.0,136.0
348.0,134.0
348.0,132.0
346.0,132.0
345.0,132.0
339.0,132.0
333.0,130.0
331.0,128.0
326.0,126.0
370.0,123.0
316.0,122.0
352.0,121.0
343.0,121.0
341.0,121.0
292.0,124.0
290.0,126.0
294.0,126.0
341.0,125.0
324.0,125.0
328.0,123.0
331.0,122.0
328.0,122.0
318.0,123.0
314.0,125.0
311.0,129.0
268.0,134.0
265.0,132.0
260.0,132.0
256.0,134.0
256.0,136.0
255.0,134.0
255.0,134.0
257.0,132.0
257.0,134.0
256.0,134.0
253.0,134.0
250.0,134.0
239.0,134.0
286.0,131.0
289.0,132.0
283.0,135.0
280.0,137.0
283.0,138.0
274.0,139.0
219.0,144.0
216.0,146.0
215.0,148.0
212.0,150.0
210.0,150.0
210.0,150.0
207.0,152.0
204.0,156.0
217.0,159.0
200.0,160.0
215.0,161.0
217.0,162.0
203.0,162.0
200.0,160.0
195.0,160.0
193.0,156.0
192.0,154.0
185.0,154.0
189.0,157.0
166.0,160.0
181.0,162.0
155.0,166.0
170.0,169.0
149.0,172.0
166.0,175.0
161.0,179.0
523.0,167.0
157.0,181.0
151.0,183.0
139.0,188.0
132.0,188.0
94.0,186.0
99.0,185.0
77.0,183.0
63.0,181.0
59.0,176.0
58.0,176.0
59.0,180.0
61.0,181.0
53.0,185.0
44.0,189.0
40.0,190.0
34.0,197.0
33.0,207.0
38.0,218.0
55.0,231.0
58.0,238.0
92.0,241.0
111.0,240.0
112.0,243.0
113.0,245.0
120.0,243.0
122.0,245.0
127.0,247.0
133.0,250.0
134.0,252.0
122.0,252.0
143.0,251.0
128.0,250.0
154.0,250.0
162.0,249.0
147.0,248.0
152.0,246.0
154.0,244.0
158.0,240.0
158.0,238.0
168.0,233.0
174.0,227.0
181.0,226.0
184.0,226.0
188.0,226.0
194.0,225.0
192.0,226.0
202.0,224.0
225.0,225.0
260.0,219.0
220.0,224.0
227.0,222.0
227.0,220.0
233.0,218.0
229.0,222.0
226.0,226.0
228.0,228.0
235.0,230.0
231.0,234.0
239.0,235.0
239.0,234.0
248.0,235.0
250.0,238.0
256.0,242.0
264.0,242.0
273.0,242.0
282.0,244.0
293.0,246.0
303.0,246.0
314.0,246.0
313.0,248.0
314.0,250.0
319.0,250.0
324.0,254.0
327.0,256.0
332.0,258.0
334.0,258.0
339.0,262.0
345.0,264.0
353.0,264.0
359.0,264.0
360.0,262.0
363.0,260.0
370.0,260.0
366.0,262.0
371.0,262.0
373.0,266.0
376.0,266.0
377.0,264.0
384.0,264.0
386.0,268.0
390.0,268.0
398.0,264.0
401.0,262.0
404.0,262.0
406.0,268.0
412.0,270.0
424.0,272.0
426.0,278.0
432.0,286.0
439.0,298.0
444.0,304.0
447.0,308.0
451.0,310.0
457.0,310.0
463.0,310.0
465.0,310.0
472.0,308.0
474.0,306.0
477.0,302.0
478.0,298.0
482.0,290.0
481.0,282.0
480.0,276.0
481.0,268.0
477.0,264.0
475.0,262.0
478.0,262.0
476.0,264.0
474.0,266.0
471.0,266.0
469.0,268.0
468.0,268.0
464.0,266.0
460.0,264.0
462.0,258.0
462.0,254.0
463.0,250.0
463.0,246.0
467.0,238.0
