x,y
32.0,272.0
32.0,272.0
32.0,272.0
32.0,272.0
32.0,272.0
32.0,272.0
40.0,268.0
40.0,268.0
32.0,272.0
44.0,268.0
44.0,268.0
40.0,268.0
44.0,268.0
44.0,268.0
44.0,268.0
44.0,268.0
44.0,268.0
44.0,268.0
44.0,268.0
44.0,268.0
40.0,268.0
44.0,268.0
48.0,264.0
52.0,264.0
52.0,264.0
52.0,264.0
52.0,264.0
48.0,264.0
48.0,264.0
48.0,264.0
48.0,264.0
48.0,264.0
48.0,264.0
56.0,260.0
56.0,260.0
56.0,260.0
56.0,260.0
60.0,260.0
60.0,260.0
60.0,260.0
64.0,256.0
64.0,256.0
64.0,256.0
64.0,256.0
64.0,256.0
64.0,256.0
64.0,256.0
64.0,256.0
64.0,256.0
60.0,256.0
68.0,252.0
68.0,252.0
68.0,252.0
68.0,252.0
68.0,252.0
68.0,252.0
68.0,252.0
68.0,252.0
68.0,252.0
76.0,248.0
76.0,248.0
76.0,248.0
76.0,248.0
76.0,248.0
76.0,248.0
76.0,248.0
80.0,244.0
76.0,248.0
80.0,244.0
80.0,244.0
80.0,244.0
80.0,244.0
80.0,244.0
80.0,244.0
80.0,244.0
92.0,240.0
96.0,240.0
80.0,244.0
80.0,244.0
84.0,240.0
88.0,240.0
84.0,240.0
88.0,240.0
84.0,240.0
96.0,236.0
84.0,240.0
92.0,236.0
92.0,236.0
92.0,236.0
92.0,236.0
92.0,236.0
92.0,236.0
92.0,236.0
92.0,236.0
92.0,236.0
104.0,232.0
112.0,232.0
112.0,232.0
96.0,232.0
100.0,232.0
96.0,232.0
104.0,228.0
100.0,232.0
108.0,228.0
112.0,228.0
96.0,232.0
96.0,232.0
104.0,228.0
104.0,228.0
104.0,228.0
104.0,228.0
112.0,224.0
112.0,224.0
104.0,228.0
104.0,228.0
100.0,228.0
116.0,224.0
112.0,224.0
108.0,224.0
108.0,224.0
108.0,224.0
120.0,220.0
178.0,148.0
108.0,224.0
108.0,224.0
104.0,224.0
108.0,224.0
120.0,220.0
116.0,220.0
116.0,220.0
148.0,212.0
124.0,216.0
140.0,216.0
152.0,212.0
148.0,212.0
148.0,212.0
148.0,212.0
148.0,208.0
148.0,208.0
148.0,208.0
148.0,208.0
164.0,200.0
160.0,204.0
156.0,204.0
194.0,138.0
156.0,200.0
168.0,196.0
172.0,188.0
160.0,200.0
160.0,196.0
160.0,196.0
176.0,180.0
176.0,180.0
176.0,184.0
196.0,156.0
176.0,184.0
180.0,180.0
160.0,196.0
168.0,192.0
180.0,184.0
180.0,180.0
196.0,156.0
196.0,156.0
196.0,156.0
196.0,156.0
200.0,156.0
200.0,156.0
200.0,156.0
200.0,152.0
200.0,158.0
202.0,156.0
202.0,156.0
184.0,180.0
184.0,172.0
200.0,156.0
204.0,156.0
204.0,156.0
192.0,168.0
196.0,164.0
176.0,180.0
196.0,164.0
208.0,152.0
196.0,164.0
184.0,176.0
208.0,152.0
208.0,152.0
210.0,152.0
208.0,152.0
212.0,152.0
212.0,152.0
192.0,168.0
212.0,152.0
212.0,152.0
192.0,168.0
192.0,168.0
212.0,156.0
212.0,152.0
216.0,148.0
212.0,152.0
216.0,152.0
202.0,150.0
212.0,148.0
200.0,152.0
200.0,148.0
200.0,152.0
200.0,156.0
204.0,144.0
202.0,148.0
204.0,140.0
204.0,144.0
204.0,148.0
204.0,148.0
204.0,152.0
208.0,148.0
208.0,148.0
208.0,144.0
208.0,142.0
208.0,144.0
212.0,144.0
212.0,144.0
212.0,140.0
212.0,142.0
212.0,140.0
212.0,140.0
212.0,140.0
212.0,144.0
212.0,140.0
212.0,144.0
212.0,148.0
212.0,144.0
212.0,144.0
216.0,144.0
216.0,144.0
216.0,140.0
216.0,140.0
216.0,140.0
216.0,144.0
220.0,140.0
220.0,144.0
220.0,140.0
216.0,144.0
220.0,140.0
220.0,140.0
220.0,140.0
220.0,140.0
220.0,140.0
220.0,140.0
220.0,140.0
220.0,140.0
220.0,140.0
220.0,140.0
224.0,140.0
220.0,140.0
224.0,140.0
224.0,140.0
228.0,136.0
228.0,136.0
228.0,136.0
228.0,136.0
228.0,136.0
228.0,136.0
228.0,136.0
228.0,136.0
236.0,132.0
228.0,136.0
236.0,132.0
236.0,132.0
232.0,132.0
232.0,132.0
232.0,132.0
232.0,132.0
240.0,128.0
240.0,128.0
236.0,128.0
236.0,128.0
244.0,124.0
244.0,124.0
236.0,128.0
244.0,124.0
244.0,124.0
240.0,124.0
248.0,120.0
248.0,120.0
248.0,120.0
252.0,116.0
248.0,120.0
256.0,112.0
256.0,112.0
252.0,116.0
248.0,116.0
252.0,116.0
256.0,112.0
256.0,112.0
260.0,108.0
256.0,112.0
256.0,112.0
256.0,112.0
252.0,112.0
264.0,108.0
248.0,112.0
260.0,108.0
260.0,108.0
260.0,108.0
260.0,108.0
264.0,104.0
260.0,108.0
264.0,104.0
264.0,104.0
264.0,104.0
268.0,100.0
268.0,100.0
264.0,104.0
272.0,104.0
268.0,104.0
272.0,100.0
264.0,104.0
272.0,100.0
272.0,100.0
272.0,100.0
272.0,100.0
272.0,100.0
272.0,100.0
276.0,96.0
276.0,96.0
276.0,96.0
272.0,100.0
272.0,100.0
276.0,96.0
288.0,80.0
280.0,96.0
280.0,96.0
280.0,96.0
280.0,96.0
276.0,96.0
284.0,92.0
284.0,92.0
284.0,92.0
284.0,92.0
232.0,96.0
232.0,96.0
288.0,92.0
288.0,92.0
288.0,92.0
288.0,92.0
288.0,92.0
288.0,92.0
292.0,88.0
292.0,88.0
292.0,88.0
292.0,88.0
